Category,Food Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total ,Citation/ Reference1,Country of Origin for Sample
,,,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,Total of 4 Purine Bases (mg/100 g),,
Poultry (other than organs),"Chicken breast, roasted",12,25.3,-,-,-,27.2,-,-,-,126,-,-,-,-,-,-,-,178.5,j,USA
Poultry (other than organs),"Chicken breast, stewed",24,24.6,-,-,-,29.9,-,-,-,129,-,-,-,-,-,-,-,183.5,h,USA
Poultry (other than organs),"Chicken drumstick, raw",25,22,0.9,-,-,29,1.2,-,-,78.4,2.1,-,-,3.3,0.4,-,-,132.7,i,USA
Poultry (other than organs),"Chicken neck, raw",10,38.8,1.1,-,-,41,1.3,-,-,31.8,1,-,-,11.3,0.7,-,-,122.9,i,USA
Poultry (other than organs),"Chicken skin (from drumsticks and thighs), braised",24,21.1,-,-,-,27.9,-,-,-,44.8,-,-,-,-,-,-,-,93.8,h,USA
Poultry (other than organs),"Chicken skin, raw",24,13.04,-,-,-,18.8,-,-,-,27.1,-,-,-,n/a,-,-,-,58.9,h,USA
Poultry (other than organs),"Chicken skin, raw",25,28.2,1.1,-,-,39.2,1.2,-,-,35.2,1.4,-,-,3.7,0.4,-,-,106.3,i,USA
Poultry (other than organs),"Chicken thigh, raw",65,20.9,0.32,19,25.3,25.4,0.1,24.6,26.6,90.9,1.32,77.6,99.7,4.5,0.8,-,-,141.7,"h,i,j",USA
Poultry (other than organs),"Chicken thigh, roasted",16,29.5,-,-,-,33.3,-,-,-,86.1,-,-,-,-,-,-,-,148.9,j,USA
Poultry (other than organs),"Chicken thigh, stewed",24,22.6,-,-,-,28.5,-,-,-,95.2,-,-,-,-,-,-,-,146.3,h,USA
Poultry (other than organs),"Chicken, ground, raw",1,24.7,-,-,-,22,-,-,-,112,-,-,-,0,-,-,-,158.7,g,Canada
Poultry (other than organs),"Poultry, mechanically deboned, from backs and necks with skin, raw",10,31.1,0.9,-,-,33.3,0.9,-,-,22.2,1.1,-,-,7.0,0.2,-,-,93.6,i,USA
Poultry (other than organs),"Poultry, mechanically deboned, from backs and necks with skin, raw",2,18.9,-,-,-,22.0,-,-,-,30.4,-,-,-,1.6, -,-,-,72.9,g,Canada
Poultry (other than organs),"Poultry, mechanically deboned, from mature hens, raw",3,21.9,2.4,17.3,25.4,25.8,3.9,18.3,31.1,31.0,1.3,28.9,33.3,1.1,0.2,0.7,1.5,79.8,g,Canada
Poultry (other than organs),"Turkey, ground, raw",1,13.1,-,-,-,11.6,-,-,-,71.3,-,-,-,0,-,-,-,96.0,g,Canada
Poultry (other than organs),"Turkey, mechanically deboned, from turkey frames, raw",1,18.7,-,-,-,17.9,-,-,-,41.2,-,-,-,1.28,-,-,-,79.1,g,Canada
Sausages and luncheon meats,Luncheon meat (unspecified),1,11.6,-,-,-,13.4,-,-,-,32.4,-,-,-,0.9,-,-,-,58.3,a,Canada
Vegetables,"Mushrooms (not further specified), raw",1,18.8,-,-,-,27.1,-,-,-,0,-,-,-,1,-,-,-,46.9,a,Canada
Vegetables,"Mushrooms, canned",1,12,-,-,-,12.6,-,-,-,0,-,-,-,0,-,-,-,24.6,a,Canada
n/a= not available; ND=not detected; trace=reported amount,,,,,,,,,,,,,,,,,,,,,
1Sources of data:,,,,,,,,,,,,,,,,,,,,,
"a - Brulé, D., et al. (1988). ",,,,,,,,,,,,,,,,,,,,,
"e - Clifford, A.J., & Story, D.L. (1976). ",,,,,,,,,,,,,,,,,,,,,
"g - Sarwar, G., et al. (1985). ",,,,,,,,,,,,,,,,,,,,,
"h - Young, L. (1983). ",,,,,,,,,,,,,,,,,,,,,
"i - Young, L. (1980). ",,,,,,,,,,,,,,,,,,,,,
"j - Young, L. (1982).",,,,,,,,,,,,,,,,,,,,,
